tooth,sex,stage,stage_index,ln_mu,ln_sigma,mode,median,mean,sd,hpd_low,opt,hpd_high
P4,male,Coc,3,1.5309,0.1172,4.5593,4.6223,4.6542,0.5473,3.67,4.62,5.82
P4,male,Cr1_2,4,1.6682,0.1202,5.2265,5.3026,5.3411,0.6444,4.18,5.3,6.72
P4,male,Cr3_4,5,1.8371,0.1239,6.1824,6.278,6.3263,0.7866,4.92,6.28,8.01
P4,male,Crc,6,1.9937,0.1178,7.2415,7.3427,7.3938,0.874,5.82,7.34,9.26
P4,male,Ri,7,2.1085,0.1155,8.1263,8.2355,8.2906,0.961,6.56,8.24,10.34
P4,male,R1_4,8,2.2496,0.1235,9.3405,9.4839,9.5565,1.1843,7.44,9.48,12.1
P4,male,R1_2,9,2.3816,0.1143,10.6822,10.8227,10.8937,1.2495,8.64,10.82,13.56
P4,male,R3_4,10,2.4825,0.117,11.8085,11.9711,12.0533,1.4145,9.5,11.97,15.08
P4,male,Rc,11,2.5767,0.1135,12.9847,13.1531,13.2381,1.5074,10.51,13.15,16.46
P4,male,A1_2,12,2.6481,0.1132,13.9467,14.1267,14.2175,1.6151,11.29,14.13,17.69
